uid,發布單位Publisher,關鍵字Keywords,表現型Phenotype,涵蓋範圍Coverage$區域空間Spatial,涵蓋範圍Coverage$物理樣本Physical_sample_availability,涵蓋範圍Coverage$隨訪期Follow_up,出處Provenance$目的Purpose,出處Provenance$來源Source,出處Provenance$蒐集情境Collection_situation,出處Provenance$週期計算Accrual_periodicity,出處Provenance$延遲Time_lag,存取權Access$交貨時間Delivery_lead_time,存取權Access$法律管轄權Jurisdiction,格式與標準Format_and_standards$詞彙編碼Vocabulary_encoding_scheme,格式與標準Format_and_standards$符合標準Conforms_to,格式與標準Format_and_standards$語言Language,數據效用Data_utility$文檔Documentation$其他文檔與支援Additional_documentation_and_support,數據效用Data_utility$文檔Documentation$數據模式Data_model,數據效用Data_utility$文檔Documentation$數據字典Data_dictionary,數據效用Data_utility$文檔Documentation$出處Provenance,數據效用Data_utility$質量技術Technical_quality$數據質量管理流程Data_Quality_Management_Process,數據效用Data_utility$訪問和提供Access_and_provision$允許的用途Allowable_uses,數據效用Data_utility$訪問和提供Access_and_provision$延遲Time_lag,數據效用Data_utility$訪問和提供Access_and_provision$時效性Timeliness,數據效用Data_utility$價值和利益Value_and_interest$連動性Linkages,數據效用Data_utility$價值和利益Value_and_interest$數據豐富度Data_Enrichments,數據效用Data_utility$涵蓋範圍Coverage$涵蓋的途徑Pathway_coverage,數據效用Data_utility$涵蓋範圍Coverage$隨訪時間Length_of_follow_up,元數據技術Technical_Metadata,商業用途Commercial_use,資料集標題,資料集來源,來源單位Logo,認證徽章,資料集Tag,摘要Abstract,資料集豐富度評分,觀看次數,數位物件識別碼DOI_for_元數據_not_paper,最新資料集發布日期Latest_dataset_release_date,發布頻率Publishing_frequency,創建日期Creation_Date,最後更新時間Last_updated,版本_Version,資源創建者單位Resource_creator,資料集延遲Dataset_time_lag,涵蓋區域Geographical_coverage,年齡區間Typical_age_range,物理樣本Physical_sample_availability,隨訪期Follow_up,途徑Pathway,語義註釋Semantic_Annotations,數據模型Data_models,語言Language,格式Format,目的Purpose,來源Source,蒐集情境Collection_situation,派生分化Derived_from,統計人口Statistical_population,人口描述Population_description,人口規模Population_size,測量屬性Measured_property,觀察日期Observation_date,訪問訊息Access_information,處裡時間Processing_time,訪問請求成本Access_request_cost,訪問環境Access_environment,管轄權Jurisdiction,限制Limitations,要求Requirements,數據控制者Data_Controller,數據處裡者Data_Processor,論文Papers,計畫項目Projects,工具Tools
0,AIRWAVE,111 Sail,Abdominal Aortic Aneurysm,Cambridgeshire,Availability To Be Confirmed,> 10 Years,Administrative,Electronic Survey,Accident An Emergency,1 Month Cycle,1-2 Months,1-2 Months,826,Dm+d,Cdisc,Af,"As Gold, plus support personnel available to answer questions","Known and accepted data model, with some key fields uncoded",Dictionary is based on international standards and includes mapping,Dataset source documented,"Externally verified compliance with the data management plan, e.g. by ISO, CQC, ICO or other body",Academic research,Near real-time data,Less than 2 weeks,Existing linkage with reusable or downstream approvals,"The data include additional derived fields, or enriched data",Contains data across more than two tiers,Between 1-6 months,Contains Technical Metadata,Consented for commercial uses,COVID antigen testing - Pillar 1,AIRWAVE,../../database.png,../../shield.png,111 Sail,"The Airwave Health Monitoring Study (AHMS) is a long-term occupational observational cohort study and tissue bank following up the health of c. 53,000 police officers and staff across Great Britain.",100,10000,10.1016/j.envres.2014.07.025,01/08/2018,STATIC,01/11/2021,01/11/2021,1.0.0,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648147/great-britain.html,18-74,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2015 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD10",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53000,"Questionnaire, clinical measurements, cognitive tests",31/03/2015,https://police-health.org.uk/applying-access-resource,2-6 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2014).",https://police-health.org.uk/approved-research,Unrecognised dataset title
1,ALLEVIATE,1946 Nshd,Abdominal Hernia,England,Bone Marrow,0 - 6 Months,Audit,Epr,Accident And Emergency,Annual,1-2 Weeks,1-2 Weeks,Af,Hpo,Dicom,En,"As Silver, plus dataset publication was supported with a journal article explaining the dataset in detail, or dataset training materials",Key fields coded using local standard,Dictionary relates to national definitions,"Dataset source, any transformations, rule and exclusions documented",Evidence that the data management plan has been implemented is available,Student / educational project,1 week,Less than 1 month,"List of restrictions on the type of linkages detailed. List of previously successful dataset linkages performed, with navigable links to linked datasets via at DOI/URL","The data include additional derived fields, or enriched data used by other available data sources",Contains multimodal data or data that is linked across two tiers (e.g. primary and secondary care),Between 6-12 months,Contains Technical Metadata,Consented for commercial uses,The Airwave Health Monitoring Study,ALLEVIATE,../../database.png,../../shield.png,1946 Nshd,CSDS sets out national definitions for the extraction of data about children and adults: • personal and demographic • social and personal circumstances • breastfeeding and nutrition • care event and screening activity • diagnoses • scored assessments,99,9999,10.1016/j.envres.2014.07.026,01/08/2019,STATIC,01/11/2021,01/11/2021,1.0.1,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648148/great-britain.html,18-75,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2016 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD11",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53001,"Questionnaire, clinical measurements, cognitive tests",31/03/2016,https://police-health.org.uk/applying-access-resource,2-7 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2015).",https://police-health.org.uk/approved-research,Unrecognised dataset title
2,AVON LONGITUDINAL STUDY OF PARENTS AND CHILDREN,1958 Ncds,Acarbose,England & Wales,Cancer Cell Lines,1 - 10 Years,Care,Freetext Nlp,Clinic,Biannual,2-4 Weeks,16 Weeks (8 Weeks For Committee Decision And 8 Weeks For Data Extraction And Processing),Bd,Https://www.cogconsortium.uk/protocols/,Hl7 Ccow,Af,"Comprehensive ReadMe describing extracting and use of data, Dataset FAQS available, Visual data model provided",Key fields coded using national/international standard,Definitions compiled into local data dictionary which is available online,"All original data items, transformations, rules, exclusions and impact listed","A documented data management plan covering collection, auditing, and management is available for the dataset",Charitable or non-profit project,1 month,Less than 3 months,Available linkages outlined and/or List of datasets previously successfully linked provided,"The derived fields or enriched data were generated from, or used by, a peer reviewed algorithm",Contains data from multiple specialties or services within a single tier of care,Between 1-10 years,Contains Technical Metadata,Consented for commercial uses,Community Services Data Set,AVON LONGITUDINAL STUDY OF PARENTS AND CHILDREN,../../database.png,../../shield.png,1958 Ncds,NHS Digital’s fortnightly collection of GP data will provide data to support vital planning and research into coronavirus (COVID-19).,98,9998,10.1016/j.envres.2014.07.027,01/08/2020,STATIC,01/11/2021,01/11/2021,1.0.2,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648149/great-britain.html,18-76,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2017 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD12",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53002,"Questionnaire, clinical measurements, cognitive tests",31/03/2017,https://police-health.org.uk/applying-access-resource,2-8 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2016).",https://police-health.org.uk/approved-research,Unrecognised dataset title
3,BARTS HEALTH,5-fluoruracil,Ace Inhibitors,England and Wales,Cdna/mrna,6 - 12 Months,Disease Registry,Lims,Community,Biweekly,2-6 Months,2-4 Weeks,Gb,Icd10,Hl7 Cda,En,Past journal articles demonstrate that knowledge of the data exists,Model conforms to national standard and key fields coded to national/international standard,Data definitions available,Earlier and 'raw' versions and the impact of each stage of data cleaning,"Externally verified compliance with the data management plan, e.g. by ISO, CQC, ICO or other body",Commercial project,1 year,Less than 6 months,Identifiers to demonstrate ability to link to other datasets,The data includes derived fields or enriched data from a national report,Contains data from a single speciality or area,More than 10 years,Contains Technical Metadata,Consented for commercial uses,GPES Data for Pandemic Planning and Research (COVID-19),BARTS HEALTH,../../database.png,../../shield.png,5-fluoruracil,Patient-level data set that captures information about people in contact with services commissioned as part of the adult Improving Access to Psychological Services (IAPT) programme.,97,9997,10.1016/j.envres.2014.07.028,01/08/2021,STATIC,01/11/2021,01/11/2021,1.0.3,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648150/great-britain.html,18-77,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2018 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD13",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53003,"Questionnaire, clinical measurements, cognitive tests",31/03/2018,https://police-health.org.uk/applying-access-resource,2-9 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2017).",https://police-health.org.uk/approved-research,Unrecognised dataset title
4,BHF DATA SCIENCE CENTRE,A-fib,Acei Loop Diuretic (M1),India,Core Biopsy,Continuous,Financial,Machine Generated,Home,Continuous,6 Months Plus,2-6 Months,Gb-ea,Icd9,Hl7 Fhir,Af,"As Gold, plus support personnel available to answer questions","Known and accepted data model, with some key fields uncoded",Dictionary is based on international standards and includes mapping,Dataset source documented,Evidence that the data management plan has been implemented is available,Academic research,Near real-time data,Less than 2 weeks,Existing linkage with reusable or downstream approvals,,Contains data across more than two tiers,Between 1-6 months,Contains Technical Metadata,Consented for commercial uses,Improving Access to Psychological Therapies Data Set,BHF DATA SCIENCE CENTRE,../../database.png,../../shield.png,A-fib,Details of completed (processed) COVID-19 antigen tests carried out in NHS hospitals in Northern Ireland.,96,9996,10.1016/j.envres.2014.07.029,01/08/2022,STATIC,01/11/2021,01/11/2021,1.0.4,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648151/great-britain.html,18-78,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2019 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD14",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53004,"Questionnaire, clinical measurements, cognitive tests",31/03/2019,https://police-health.org.uk/applying-access-resource,2-10 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2018).",https://police-health.org.uk/approved-research,Unrecognised dataset title
5,BORN IN BRADFORD,A&e,Acerbose,International,Dna,Other,Other,Other,In-patients,Daily,Less 1 Week,Http://opcrd.co.uk/opcrd-data-request/,Gb-eaw,Icdo3,Https://www.cogconsortium.uk/protocols/,En,"As Silver, plus dataset publication was supported with a journal article explaining the dataset in detail, or dataset training materials",Key fields coded using local standard,Dictionary relates to national definitions,"Dataset source, any transformations, rule and exclusions documented","A documented data management plan covering collection, auditing, and management is available for the dataset",Student / educational project,1 week,Less than 1 month,"List of restrictions on the type of linkages detailed. List of previously successful dataset linkages performed, with navigable links to linked datasets via at DOI/URL","The data include additional derived fields, or enriched data",Contains multimodal data or data that is linked across two tiers (e.g. primary and secondary care),Between 6-12 months,Contains Technical Metadata,Consented for commercial uses,COVID antigen testing - Pillar 2,BORN IN BRADFORD,../../database.png,../../shield.png,A&e,Details of completed (processed) COVID-19 antigen tests booked through the NHS-Digital portals.,95,9995,10.1016/j.envres.2014.07.030,01/08/2023,STATIC,01/11/2021,01/11/2021,1.0.5,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648152/great-britain.html,18-79,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2020 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD15",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53005,"Questionnaire, clinical measurements, cognitive tests",31/03/2020,https://police-health.org.uk/applying-access-resource,2-11 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2019).",https://police-health.org.uk/approved-research,Unrecognised dataset title
6,BRAIN TUMOUR CHARITY,A&e Department,Acne,Lambeth,Faeces,> 10 Years,Statutory,Other Information System,Other,In Progress,More 6 Months,Less 1 Week,Gb-eng,Local,I2b2,Af,"Comprehensive ReadMe describing extracting and use of data, Dataset FAQS available, Visual data model provided",Key fields coded using national/international standard,Definitions compiled into local data dictionary which is available online,"All original data items, transformations, rules, exclusions and impact listed","Externally verified compliance with the data management plan, e.g. by ISO, CQC, ICO or other body",Charitable or non-profit project,1 month,Less than 3 months,Available linkages outlined and/or List of datasets previously successfully linked provided,"The data include additional derived fields, or enriched data used by other available data sources",Contains data from multiple specialties or services within a single tier of care,Between 1-10 years,Contains Technical Metadata,Consented for commercial uses,COVID-19 Vaccination,BRAIN TUMOUR CHARITY,../../database.png,../../shield.png,Accident And Emergency,Details of completed (processed) COVID-19 vaccinations,94,9994,10.1016/j.envres.2014.07.031,01/08/2024,STATIC,01/11/2021,01/11/2021,1.0.6,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648153/great-britain.html,18-80,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2021 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD16",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53006,"Questionnaire, clinical measurements, cognitive tests",31/03/2021,https://police-health.org.uk/applying-access-resource,2-12 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2020).",https://police-health.org.uk/approved-research,Unrecognised dataset title
7,BREATHE,A&e Waiting Time,Actinic Keratosis,Lewisham,Immortalized Cell Lines,0 - 6 Months,Study,Paper Based,Outpatients,Irregular,No Timelag,More 6 Months,Gb-gb,Loinc,Local,En,Past journal articles demonstrate that knowledge of the data exists,Model conforms to national standard and key fields coded to national/international standard,Data definitions available,Earlier and 'raw' versions and the impact of each stage of data cleaning,Evidence that the data management plan has been implemented is available,Commercial project,1 year,Less than 6 months,Identifiers to demonstrate ability to link to other datasets,"The derived fields or enriched data were generated from, or used by, a peer reviewed algorithm",Contains data from a single speciality or area,More than 10 years,Contains Technical Metadata,Consented for commercial uses,Enhanced Prescribing Database,BREATHE,../../database.png,../../shield.png,Accredited Social Health Activists,This is a record of primary care prescriptions that are submitted by community pharmacies in Northern Ireland to the Business Service Organisation for payment.,93,9993,10.1016/j.envres.2014.07.032,01/08/2025,STATIC,01/11/2021,01/11/2021,1.0.7,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648154/great-britain.html,18-81,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2022 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD17",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53007,"Questionnaire, clinical measurements, cognitive tests",31/03/2022,https://police-health.org.uk/applying-access-resource,2-13 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2021).",https://police-health.org.uk/approved-research,Unrecognised dataset title
8,COVID-19 GENOMICS UK,Abdominal,Acute Kidney Injury,London,In Progress,1 - 10 Years,Trial,Electronic Survey,Pharmacy,Monthly,Not Applicable,None,Gb-gbn,Nhs National Codes,Locally Negotiated Standard,Af,"As Gold, plus support personnel available to answer questions","Known and accepted data model, with some key fields uncoded",Dictionary is based on international standards and includes mapping,Dataset source documented,"A documented data management plan covering collection, auditing, and management is available for the dataset",Academic research,Near real-time data,Less than 2 weeks,Existing linkage with reusable or downstream approvals,The data includes derived fields or enriched data from a national report,Contains data across more than two tiers,Between 1-6 months,Contains Technical Metadata,Consented for commercial uses,Eye images and retinopathy grades in diabetic eye screening,COVID-19 GENOMICS UK,../../database.png,../../shield.png,Ace Inhibitors,"The dataset is a longitudinal dataset consisting of eye images and retinopathy grades from those who are screened for diabetic retinopathy in the Birmingham, Solihull and Black Country DR screening program.",92,9992,10.1016/j.envres.2014.07.033,01/08/2026,STATIC,01/11/2021,01/11/2021,1.0.8,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648155/great-britain.html,18-82,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2023 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD18",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53008,"Questionnaire, clinical measurements, cognitive tests",31/03/2023,https://police-health.org.uk/applying-access-resource,2-14 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2022).",https://police-health.org.uk/approved-research,Unrecognised dataset title
9,CPRD,Abdominal Mri,Agranulocytosis,London and Luton,Linkages Have Been Made With Some Local,6 - 12 Months,Administrative,Epr,Primary Care,Other,Other,Not Applicable,Gb-nir,Nhs Scotland National Codes,Nhs Data Dictionary,En,"As Silver, plus dataset publication was supported with a journal article explaining the dataset in detail, or dataset training materials",Key fields coded using local standard,Dictionary relates to national definitions,"Dataset source, any transformations, rule and exclusions documented","Externally verified compliance with the data management plan, e.g. by ISO, CQC, ICO or other body",Student / educational project,1 week,Less than 1 month,"List of restrictions on the type of linkages detailed. List of previously successful dataset linkages performed, with navigable links to linked datasets via at DOI/URL",,Contains multimodal data or data that is linked across two tiers (e.g. primary and secondary care),Between 6-12 months,Contains Technical Metadata,Consented for commercial uses,ONS Death Registration data for QResearch,CPRD,../../database.png,../../shield.png,Acidosis,"The Airwave Health Monitoring Study (AHMS) is a long-term occupational observational cohort study and tissue bank following up the health of c. 53,000 police officers and staff across Great Britain.",91,9991,10.1016/j.envres.2014.07.034,01/08/2027,STATIC,01/11/2021,01/11/2021,1.0.9,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648156/great-britain.html,18-83,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2024 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD19",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53009,"Questionnaire, clinical measurements, cognitive tests",31/03/2024,https://police-health.org.uk/applying-access-resource,2-15 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2023).",https://police-health.org.uk/approved-research,Unrecognised dataset title
